@RELATION 'derisi0.names'

@ATTRIBUTE g1                                      numeric
@ATTRIBUTE g1_bkg                                  numeric
@ATTRIBUTE r1                                      numeric
@ATTRIBUTE r1_bkg                                  numeric
@ATTRIBUTE f1                                      numeric
@ATTRIBUTE g2                                      numeric
@ATTRIBUTE g2_bkg                                  numeric
@ATTRIBUTE r2                                      numeric
@ATTRIBUTE r2_bkg                                  numeric
@ATTRIBUTE f2                                      numeric
@ATTRIBUTE g3                                      numeric
@ATTRIBUTE g3_bkg                                  numeric
@ATTRIBUTE r3                                      numeric
@ATTRIBUTE r3_bkg                                  numeric
@ATTRIBUTE f3                                      numeric
@ATTRIBUTE g4                                      numeric
@ATTRIBUTE g4_bkg                                  numeric
@ATTRIBUTE r4                                      numeric
@ATTRIBUTE r4_bkg                                  numeric
@ATTRIBUTE f4                                      numeric
@ATTRIBUTE g5                                      numeric
@ATTRIBUTE g5_bkg                                  numeric
@ATTRIBUTE r5                                      numeric
@ATTRIBUTE r5_bkg                                  numeric
@ATTRIBUTE f5                                      numeric
@ATTRIBUTE g6                                      numeric
@ATTRIBUTE g6_bkg                                  numeric
@ATTRIBUTE r6                                      numeric
@ATTRIBUTE r6_bkg                                  numeric
@ATTRIBUTE f6                                      numeric
@ATTRIBUTE g7                                      numeric
@ATTRIBUTE g7_bkg                                  numeric
@ATTRIBUTE r7                                      numeric
@ATTRIBUTE r7_bkg                                  numeric
@ATTRIBUTE f7                                      numeric
@ATTRIBUTE g1_ratio                                numeric
@ATTRIBUTE g2_ratio                                numeric
@ATTRIBUTE g3_ratio                                numeric
@ATTRIBUTE g4_ratio                                numeric
@ATTRIBUTE g5_ratio                                numeric
@ATTRIBUTE g6_ratio                                numeric
@ATTRIBUTE g7_ratio                                numeric
@ATTRIBUTE r1_ratio                                numeric
@ATTRIBUTE r2_ratio                                numeric
@ATTRIBUTE r3_ratio                                numeric
@ATTRIBUTE r4_ratio                                numeric
@ATTRIBUTE r5_ratio                                numeric
@ATTRIBUTE r6_ratio                                numeric
@ATTRIBUTE r7_ratio                                numeric
@ATTRIBUTE g1dashbkg                               numeric
@ATTRIBUTE g2dashbkg                               numeric
@ATTRIBUTE g3dashbkg                               numeric
@ATTRIBUTE g4dashbkg                               numeric
@ATTRIBUTE g5dashbkg                               numeric
@ATTRIBUTE g6dashbkg                               numeric
@ATTRIBUTE g7dashbkg                               numeric
@ATTRIBUTE r1dashbkg                               numeric
@ATTRIBUTE r2dashbkg                               numeric
@ATTRIBUTE r3dashbkg                               numeric
@ATTRIBUTE r4dashbkg                               numeric
@ATTRIBUTE r5dashbkg                               numeric
@ATTRIBUTE r6dashbkg                               numeric
@ATTRIBUTE r7dashbkg                               numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/13,01/02,01/02/02,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/02,01/05/03/02/04,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/05,01/20/27,01/20/31,01/20/33,01/20/37,01/20/37/01,01/25,01/25/01,02,02/01,02/01/01,02/01/03,02/04,02/07,02/07/01,02/08,02/10,02/11,02/11/05,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/02,16,16/01,16/02,16/03,16/03/01,16/03/03,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/17,16/17/01,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/09,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/25,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/02,20/09/16,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/09,20/09/18/09/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/03,30/01/05/05,30/01/05/05/01,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/10,30/05/02,30/05/02/24,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/10,32/10/03,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/07,34/07/01,34/07/02,34/11,34/11/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,38,38/07,40,40/01,40/01/03,40/01/03/01,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/03,40/10/02/03/02,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/09,99

@DATA
3429,2115,2436,1099,0,3826,2634,3085,1937,0,4187,1690,3913,1286,0,2188,1082,1579,768,0,2440,1545,1645,1096,0,2680,1671,2320,1456,0,2017,812,1396,639,0,0.98,1.04,0.95,1.36,1.63,1.17,1.59,1.02,0.96,1.05,0.74,0.61,0.85,0.63,1314,1192,2497,1106,895,1009,1205,1337,1148,2627,811,549,864,757,01/02@01/04@14/07/03@40/01
4934,2167,3850,1122,0,5134,2533,5416,1726,0,4630,1618,4193,1259,0,2770,1073,2407,760,0,3940,1699,3225,1326,0,5033,2622,5057,2541,0,2777,997,4285,968,0,1.01,0.7,1.03,1.03,1.18,0.96,0.54,0.99,1.43,0.97,0.97,0.85,1.04,1.85,2767,2601,3012,1697,2241,2411,1780,2728,3690,2934,1647,1899,2516,3317,14/04@20/09/13
9298,1983,9179,1006,0,12585,2474,12373,1445,0,5780,1362,5123,931,0,8479,1234,6853,838,0,6006,1916,4625,1318,0,9188,2256,5969,1473,0,7044,931,4339,683,0,0.9,0.93,1.05,1.2,1.24,1.54,1.67,1.11,1.08,0.95,0.83,0.81,0.65,0.6,7315,10111,4418,7245,4090,6932,6113,8173,10928,4192,6015,3307,4496,3656,11/04/03/01@16/03/03
5888,1666,4974,830,0,6317,1978,5350,1042,0,3071,1101,2800,755,0,3882,934,2904,634,0,7320,1314,7344,1266,0,7534,2060,6268,1474,0,3352,745,3397,588,0,1.02,1.01,0.96,1.3,0.99,1.14,0.93,0.98,0.99,1.04,0.77,1.01,0.88,1.08,4222,4339,1970,2948,6006,5474,2607,4144,4308,2045,2270,6078,4794,2809,01/04@14/10@16/19/03@42/19
3335,2200,2016,1061,0,4076,2436,2997,1324,0,2219,1272,1946,824,0,2046,1114,1737,699,0,2909,1621,2697,1289,0,3169,2228,3614,1449,0,1801,946,2032,691,0,1.19,0.98,0.84,0.9,0.91,0.43,0.64,0.84,1.02,1.19,1.11,1.1,2.33,1.56,1135,1640,947,932,1288,941,855,955,1673,1122,1038,1408,2165,1341,14/04@20/09/07/27@20/09/13
3254,1882,2270,975,0,3734,2102,2936,1136,0,1870,1198,1903,828,0,1957,1043,2633,677,0,2733,1529,4379,1069,0,2970,2099,8384,1443,0,1755,845,2619,687,0,1.06,0.91,0.63,0.47,0.36,0.13,0.47,0.94,1.1,1.59,2.13,2.78,7.69,2.13,1372,1632,672,914,1204,871,910,1295,1800,1075,1956,3310,6941,1932,02/11@02/13/01@02/13/03@20/01/15
7139,1865,6499,1015,0,5723,2101,5505,1252,0,3941,1169,3922,856,0,4428,1143,5092,830,0,5841,1456,8648,1264,0,6565,2099,17678,1656,0,3707,888,8401,708,0,0.96,0.85,0.9,0.77,0.59,0.28,0.37,1.04,1.18,1.11,1.3,1.69,3.57,2.7,5274,3622,2772,3285,4385,4466,2819,5484,4253,3066,4262,7384,16022,7693,01/05/02/07@16/21/07
2479,1951,1372,967,0,2825,2323,1727,1345,0,1660,1383,1342,1009,0,3306,1150,3241,810,0,2078,1280,1591,1063,0,2593,2256,2253,1653,0,1156,876,1266,696,0,1.3,1.31,0.83,0.89,1.51,0.56,0.49,0.77,0.76,1.2,1.12,0.66,1.79,2.04,528,502,277,2156,798,337,280,405,382,333,2431,528,600,570,10/03/02@16/07@43/01/03/09
8009,2325,8096,1345,0,7698,2691,7647,1817,0,6972,1646,7411,1319,0,4790,1161,3947,792,0,6193,1561,5809,1135,0,5933,2106,4214,1694,0,4908,796,3107,655,0,0.84,0.86,0.87,1.15,0.99,1.52,1.68,1.19,1.16,1.15,0.87,1.01,0.66,0.6,5684,5007,5326,3629,4632,3827,4112,6751,5830,6092,3155,4674,2520,2452,20/01/09@20/01/10@20/01/13@20/03/22
5435,1976,3994,1083,0,5730,2362,4464,1442,0,4643,1466,3938,1031,0,3601,1140,2622,801,0,3818,1495,2817,1148,0,4493,2097,2837,1564,0,3304,877,1862,617,0,1.19,1.11,1.09,1.35,1.39,1.88,1.95,0.84,0.9,0.92,0.74,0.72,0.53,0.51,3459,3368,3177,2461,2323,2396,2427,2911,3022,2907,1821,1669,1273,1245,01/04@10/03/01@10/03/03@14/07/03@14/10@20/09/18/09/01@42/04/03@43/01/03/05
4202,2627,2645,1286,0,3660,2191,2627,1152,0,3178,1294,2930,872,0,3180,1233,2012,735,0,3763,1860,2226,1033,0,4671,2220,3580,1273,0,2341,882,1514,632,0,1.16,1,0.92,1.52,1.6,1.06,1.65,0.86,1,1.09,0.66,0.63,0.94,0.61,1575,1469,1884,1947,1903,2451,1459,1359,1475,2058,1277,1193,2307,882,14/07/05@14/13/01
6930,2626,5298,1225,0,2382,2108,1405,1170,0,3910,1583,3597,1254,0,6285,1466,4643,1102,0,6227,1874,4052,1109,0,5742,2289,3605,1474,0,3267,1182,1602,750,0,1.06,1.17,0.99,1.36,1.48,1.62,2.45,0.94,0.85,1.01,0.74,0.68,0.62,0.41,4304,274,2327,4819,4353,3453,2085,4073,235,2343,3541,2943,2131,852,01/01/05/01/01@01/07/01@01/20/17/03
3441,1750,2313,895,0,3949,2168,3483,1200,0,2171,1132,2805,780,0,2080,1069,2495,755,0,3392,1342,5876,1200,0,3756,2039,6292,1412,0,2027,791,3257,626,0,1.19,0.78,0.51,0.58,0.44,0.35,0.47,0.84,1.28,1.96,1.72,2.27,2.86,2.13,1691,1781,1039,1011,2050,1717,1236,1418,2283,2025,1740,4676,4880,2631,34/11/03/07
4753,1768,4000,880,0,4764,1972,3752,1056,0,2668,1138,2390,771,0,2907,970,1953,638,0,5026,1416,4305,1276,0,5895,2015,3945,1445,0,2456,797,1852,569,0,0.96,1.04,0.95,1.47,1.19,1.55,1.29,1.04,0.96,1.05,0.68,0.84,0.65,0.78,2985,2792,1530,1937,3610,3880,1659,3120,2696,1619,1315,3029,2500,1283,14/07@16/01
3577,1770,2801,913,0,3853,2102,3069,1262,0,2467,1222,1941,888,0,2370,1057,1726,739,0,10910,1640,12987,1716,0,3972,2010,4396,1530,0,1640,700,2011,581,0,0.96,0.97,1.18,1.33,0.82,0.68,0.66,1.04,1.03,0.85,0.75,1.22,1.47,1.52,1807,1751,1245,1313,9270,1962,940,1888,1807,1053,987,11271,2866,1430,01/05/25@11/02/03/01@11/02/03/04/01@16/03/01@18/02/09@20/01/03/01
4448,1968,3220,1038,0,5541,2250,4060,1248,0,2821,1200,2274,839,0,2952,1033,2152,713,0,3494,1580,2972,1246,0,4450,2088,3193,1368,0,2706,847,1998,640,0,1.14,1.17,1.13,1.33,1.11,1.29,1.37,0.88,0.85,0.88,0.75,0.9,0.78,0.73,2480,3291,1621,1919,1914,2362,1859,2182,2812,1435,1439,1726,1825,1358,11/04/03/01@14/10@16/03/03
4803,2693,3182,1297,0,4320,2735,3589,1811,0,4706,1696,5701,1360,0,5370,1718,5726,1264,0,5936,1815,4642,1097,0,5228,2507,4368,2023,0,3123,1075,2112,762,0,1.12,0.89,0.69,0.82,1.16,1.16,1.52,0.89,1.12,1.45,1.22,0.86,0.86,0.66,2110,1585,3010,3652,4121,2721,2048,1885,1778,4341,4462,3545,2345,1350,20/01/07@20/09/18
2709,1928,1735,1006,0,3594,2392,2524,1334,0,2022,1278,1656,922,0,2289,1102,1923,714,0,2449,1640,1916,1178,0,2723,2065,2417,1423,0,1622,878,1563,620,0,1.07,1.01,1.01,0.98,1.1,0.66,0.79,0.93,0.99,0.99,1.02,0.91,1.52,1.27,781,1202,744,1187,809,658,744,729,1190,734,1209,738,994,943,11/02/03/04
4698,2599,3107,1292,0,4355,2662,3380,1826,0,4092,1936,3584,1593,0,5237,1650,4178,1211,0,4901,1800,3318,1084,0,4896,2578,3802,2127,0,3096,1132,1714,797,0,1.16,1.09,1.08,1.21,1.39,1.38,2.14,0.86,0.92,0.93,0.83,0.72,0.72,0.47,2099,1693,2156,3587,3101,2318,1964,1815,1554,1991,2967,2234,1675,917,01/04@10/01/03/03@10/01/11@10/03/01@14/07/03
3502,1983,2698,1015,0,3615,2318,2737,1385,0,2360,1290,1981,921,0,2124,1110,1591,764,0,2883,1611,2680,1578,0,3243,2200,2397,1542,0,1637,809,1307,589,0,0.9,0.96,1.01,1.23,1.15,1.22,1.15,1.11,1.04,0.99,0.81,0.87,0.82,0.87,1519,1297,1070,1014,1272,1043,828,1683,1352,1060,827,1102,855,718,01/04@16/19/03@20/03/25@32/07
8194,1638,6383,795,0,10864,1978,9550,969,0,4849,1088,4702,715,0,8065,939,5954,602,0,5969,1435,4506,1105,0,11912,1893,6962,1157,0,6221,805,3636,574,0,1.17,1.04,0.94,1.33,1.33,1.73,1.77,0.85,0.96,1.06,0.75,0.75,0.58,0.56,6556,8886,3761,7126,4534,10019,5416,5588,8581,3987,5352,3401,5805,3062,11/04/01@12/01@12/04
6910,2408,6180,1251,0,6078,2784,5466,1806,0,10047,2203,14562,1873,0,6985,1458,7232,1020,0,2844,1455,2593,998,0,5250,2520,5243,1897,0,5490,906,3336,690,0,0.91,0.9,0.62,0.89,0.87,0.82,1.73,1.1,1.11,1.61,1.12,1.15,1.22,0.58,4502,3294,7844,5527,1389,2730,4584,4929,3660,12689,6212,1595,3346,2646,20/09/07/03@20/09/07/25@42/09
