@RELATION 'gasch20.names'

@ATTRIBUTE DES460_Plus_0point02%_MMS___5_min                                numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___15_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___30_min                               numeric
@ATTRIBUTE DES460_Plus_0point2%_MMS___45_min                                numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___60_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___90_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___120_min                              numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___5_min                          numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___15_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___30_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___45_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___60_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___90_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___120_min                        numeric
@ATTRIBUTE dun1__Plus_0point02%_MMs___30_min                                numeric
@ATTRIBUTE dun1__Plus_0point02%_MMS___90_min                                numeric
@ATTRIBUTE dun1__Plus_0point02%_MMS___120_min                               numeric
@ATTRIBUTE wt_plus_gamma_5_min                                              numeric
@ATTRIBUTE wt_plus_gamma_10_min                                             numeric
@ATTRIBUTE wt_plus_gamma_20_min                                             numeric
@ATTRIBUTE wt_plus_gamma_30_min                                             numeric
@ATTRIBUTE wt_plus_gamma_45_min                                             numeric
@ATTRIBUTE wt_plus_gamma_60_min                                             numeric
@ATTRIBUTE wt_plus_gamma_90_min                                             numeric
@ATTRIBUTE wt_plus_gamma_120_min                                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___5_min                             numeric
@ATTRIBUTE DES460_wt___mock_irradiation___30_min                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___60_min                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___90_min                            numeric
@ATTRIBUTE mec1_plus_gamma_5_min                                            numeric
@ATTRIBUTE mec1_plus_gamma_10_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_20_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_30_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_45_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_60_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_90_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_120_min                                          numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___5_min                           numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___30_min                          numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___60_min                          numeric
@ATTRIBUTE DES460_wild_type_Plus_heat_20_min                                numeric
@ATTRIBUTE DES459_mec1_Plus_heat_20_min                                     numeric
@ATTRIBUTE MHY1_dun1_Plus_heat_20_min                                       numeric
@ATTRIBUTE DES460_vs_DES460_YPD_log_phase_control                           numeric
@ATTRIBUTE DES459_mec1___log_phase_IR_time_=_0_sample                       numeric
@ATTRIBUTE DES459_mec1___log_phase_MMS_time_=_0_sample                      numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison                    numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison_#2                 numeric
@ATTRIBUTE DES460_genomic_DNA_vs_MHY26_dun1_genomic_DNA                     numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type                                      numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type___log_phase                          numeric
@ATTRIBUTE pRS_ROX1_GAL_media                                               numeric
@ATTRIBUTE class                                                            hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/13,01/02,01/02/02,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/02,01/05/03/02/04,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/05,01/20/27,01/20/31,01/20/33,01/20/37,01/20/37/01,01/25,01/25/01,02,02/01,02/01/01,02/01/03,02/04,02/07,02/07/01,02/08,02/10,02/11,02/11/05,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/02,16,16/01,16/02,16/03,16/03/01,16/03/03,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/17,16/17/01,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/09,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/25,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/02,20/09/16,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/09,20/09/18/09/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/03,30/01/05/05,30/01/05/05/01,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/10,30/05/02,30/05/02/24,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/10,32/10/03,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/07,34/07/01,34/07/02,34/11,34/11/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,38,38/07,40,40/01,40/01/03,40/01/03/01,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/03,40/10/02/03/02,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/09,99

@DATA
0.004,-0.159,0.114,0.173,0.115,0.415,0.133,-0.1,0.207,0.237,0.125,0.23,0.201,0.19,-0.11,0.138,0.236,0.39,0.596,0.32,0.276,0.222,-0.095,0.628,-0.729,0.067,-0.431,-0.546,-0.088,0.305,0.427,0.158,0.06,-0.073,-0.223,-0.075,-0.331,0.009,-0.2,-0.267,1.022,1.055,0.786,0.086,-0.335,-0.772,-0.098,0.089,0.383,-0.592,-0.43,-0.152,12/10
-0.038,-0.278,-0.043,-0.19,-0.255,-0.313,-0.28,-0.162,-0.324,-0.247,-0.38,-0.191,?,-0.216,-0.054,0.155,-0.118,-0.567,0.109,-0.063,-0.531,0.292,-0.371,-0.559,-1.032,-0.462,?,0.5,-0.265,-0.152,-0.455,?,?,-1.146,0.21,-0.415,0.076,-1.107,?,0.427,-0.395,-0.933,-0.32,0.22,?,?,-0.343,-0.035,-0.21,0.269,0.209,-0.203,01/01/03/05/01@01/20/17@02/13@14/07/04
0.16,0.068,0.361,0.491,0.318,0.441,0.559,-0.18,-0.24,0.19,0.441,0.223,0.165,0.417,0.04,0.34,0.23,0.799,0.413,-0.015,0.043,-0.016,-0.473,-0.564,-0.454,0.13,-0.02,-0.291,-0.091,0.593,0.299,-0.144,-0.055,-0.708,-0.412,-0.669,-0.55,0.358,-0.385,-0.46,1.161,1.061,0.98,0.134,-0.255,0.183,0.037,0.238,0.156,-0.422,-0.36,0.096,16/01@20/09/18/09/01@32/01/03@34/11/03/07@40/01@42/01@42/04/03@43/01/03/05
0.015,-0.053,-0.078,0.042,-0.04,-0.156,-0.226,0.508,0.065,0.128,0.282,0.348,0.286,0.072,0.092,0,-0.239,0.001,0.017,-0.185,-0.224,-0.2,-0.305,-0.274,-0.349,0.24,0.455,0.72,0.341,0.168,0.147,-0.164,-0.124,-0.496,-0.243,-0.127,-0.042,0.523,0.496,0.429,0.151,0.321,-0.134,0.093,0.21,-0.114,-0.098,0,-0.093,-0.071,-0.54,-0.186,10/01/03@10/01/05@10/03/01/01/03@10/03/02@11/02/03/01@11/02/03/04@16/01@18/02/09@42/01
-0.21,-0.324,-0.352,-0.244,-0.392,-0.288,-0.312,0.572,0.533,0.265,0.407,0.37,?,0.452,0.043,-0.199,0,-0.28,0.4,0.21,0.331,0.54,0.675,-0.432,0.051,-0.028,-0.298,-0.561,-0.734,0.628,0.88,1.017,0.989,0.301,-0.08,0.244,0.225,-0.08,0.205,0.287,-0.05,-0.026,-0.828,-0.27,0.195,-0.341,-0.053,0.113,0.49,-0.179,0.2,0.149,11/02/03/01@11/02/03/04@18/02/09
-0.113,-0.463,-0.243,-0.245,-0.087,-0.198,-0.356,0.129,-0.255,-0.268,-0.178,-0.162,0.034,-0.402,-0.234,-0.216,-0.248,0.401,0.813,?,0.225,-0.067,0.277,1.191,0.449,0.077,0.543,0.97,0.634,?,0.305,0.104,0.779,?,?,0.181,-0.102,0.053,-0.079,0.204,-0.564,?,-0.333,?,0.303,-1.737,-0.403,-0.002,-0.262,0.214,?,1.015,10/03/01/01/11@16/01@20/09/14@40/01@42/04@43/01/03/05
0.075,0.04,-0.45,-0.36,-0.34,-0.43,-0.265,-0.364,-0.34,-0.22,-0.34,-0.32,-0.32,-0.43,-0.236,-0.06,0.093,-0.24,-0.31,-0.12,-0.24,-0.35,-0.28,-0.01,-0.25,0.163,-0.068,0.1,-0.296,-0.59,-0.55,-0.05,0.49,0.17,0.66,0.27,0.09,0.338,-0.209,0.085,-0.679,?,0.076,0.159,-0.391,-0.509,-0.05,?,-0.303,0.08,0.03,0.058,14/04@20/01/10@20/09/04@42/16
0.064,?,-0.335,-0.488,-0.501,-0.522,-0.753,0.127,-0.005,0.091,-0.083,-0.112,-0.262,-0.23,-0.046,0.015,-0.012,0.108,0.698,0.127,-0.171,-0.237,-0.585,-0.207,-0.636,-0.491,-0.123,-0.279,0.071,-0.072,0.005,0.046,0.03,0.009,0.126,-0.14,-0.375,-0.032,-0.097,-0.417,0.553,0.459,0.208,0.013,-0.561,?,0.008,0.063,-0.043,-0.703,-0.129,-0.362,20/01/01/01/01@34/01/01/01
-0.09,-0.111,-0.199,-0.092,-0.095,-0.252,-0.03,0.1,0.093,0.048,0.155,0.18,0.121,0.094,0.04,0.03,0.05,-0.209,0.118,-0.121,0.008,0.169,-0.084,-0.323,-0.401,-0.142,0.149,-0.777,-0.349,-0.04,0.015,0.29,0.197,-0.072,-0.331,0.023,0.157,-0.62,-0.392,-0.474,-0.022,-0.533,-0.179,-0.117,0.003,0.074,-0.083,0.264,-0.384,0.148,0.1,-0.203,10/01/03/03@10/01/09/05@11/02/03/04@34/11/03/07
0.185,?,0.314,0.209,0.066,-0.202,?,0.235,?,-0.174,-0.283,0.094,-0.08,?,0.412,0.553,0.098,-0.09,-0.207,?,0.007,0.12,-0.231,-0.291,-0.141,0.172,0.566,0.603,0.535,0.195,?,?,?,?,?,-0.303,0.129,-0.139,0.785,-0.05,?,-0.575,-0.749,0.087,?,-0.456,0.627,-0.474,?,0.652,-0.509,0.017,01/05@14/07/02/01
?,0.023,-0.249,-0.036,0.103,0.098,-0.248,-0.046,-0.567,-0.265,-0.781,-0.197,-0.113,-0.313,0.193,-0.387,-0.28,?,-0.73,-0.257,0.017,-0.289,-0.393,0.33,-0.098,0.043,0.112,-0.653,-0.456,-0.534,?,1.142,-0.598,-0.351,-0.488,-0.174,-0.554,?,?,-0.549,-1.078,?,0.064,0.111,-0.812,?,-0.053,0.161,-0.023,?,0.032,-0.295,01/01/03/05@01/01/13@01/02/07@11/02/03/01@11/02/03/04@16/03/01
-0.45,-0.33,-0.149,-0.125,-0.279,0,-0.226,-0.21,-0.171,-0.186,0.036,-0.049,?,?,0.03,-0.01,-0.103,-0.784,0.086,?,0.186,0.583,0.249,?,-0.159,-0.209,0.143,-0.138,-0.13,?,-0.39,-0.579,?,-0.239,?,0.474,?,0.338,?,0.042,?,-1.065,?,0.06,?,?,0,-0.052,-0.4,-0.014,-0.907,?,10/03/01/03@10/03/04/05@16/03/01
0.09,-0.07,0.51,-0.05,-0.22,?,-0.564,-0.276,-0.3,0.05,-0.52,-0.05,-0.41,-0.05,0.04,-0.21,-0.16,-0.56,0.32,0.63,0.25,0.296,0.01,0.431,0.26,0.08,0.35,0.3,0.27,0.26,0.34,0.58,0.46,-0.16,0.11,0.13,-0.15,0.57,0.528,0.27,-0.15,-0.1,-0.29,0.055,0.546,?,0.09,0,-0.095,-0.167,-0.98,-0.19,01/06/10@11/02/03/04/01@16/03/01@42/19
-0.364,-0.21,-0.22,0.01,-0.02,0.34,-0.19,-0.155,-0.08,0.58,-0.14,-0.27,-0.04,-0.06,-0.072,0.231,0.091,-0.308,-0.359,-0.014,0.131,0.235,0.571,-0.002,-0.323,0.222,0.355,0.453,-0.064,-0.004,0.151,0.063,0.323,0.284,0.182,0.202,0.386,-0.139,0.058,0.38,-0.113,-0.025,0.119,0.079,-0.105,-0.115,-0.067,0.14,0.49,0.023,0,0.067,01/01/03/05/01@01/20/17@14/07/04@38
0.278,-0.135,-0.073,0.004,-0.025,-0.005,-0.066,-0.303,-0.128,-0.283,-0.118,-0.161,-0.045,0.089,0.285,0.129,0.273,-0.117,0.052,0.071,0.046,?,0.341,0.109,0.482,0.154,0.831,0.334,0.633,-0.357,-0.199,-0.514,-0.379,-0.42,-0.032,-0.149,0.44,0.568,0.366,0.175,0.33,-0.224,-0.181,-0.107,0.131,0.065,-0.153,0.16,0.439,0.329,-0.32,0.559,02/10@14/07
0.193,-0.19,-0.205,0.282,-0.242,?,-0.456,0.197,0.38,0.032,0.331,?,0.35,?,0.093,-0.509,-0.209,2.34,0.063,?,1.225,?,0.683,0.609,?,0.742,0.81,0.4,0.144,0.511,?,?,?,?,?,0.714,?,0.559,?,0.364,-1.234,-0.664,?,-0.02,0.427,-1.784,0.188,-0.82,0.383,?,1.541,0.601,11/04/03/01@16/03/03
0.223,0.457,0.313,0.263,0.189,0.15,0.36,0.176,-0.26,-0.39,-0.397,-0.216,-0.308,0.14,0.268,-0.576,-0.49,0.355,0.347,0,0.145,0.073,0.154,0.309,0.19,-0.072,?,0.232,0.676,-0.498,-0.734,-0.993,-0.332,-0.758,-0.616,-0.514,-0.44,?,-0.07,-0.102,-0.149,-0.137,-0.16,-0.18,0.386,1.71,0.187,0.105,-0.24,-0.186,-0.408,0.18,10/01/02@10/01/05/03/03@32/01/09@42/10/03
0.349,-0.034,0.21,0.209,0.053,-0.29,-0.049,0.554,0.345,0.143,0.451,0.59,0.471,0.506,0.391,0.565,0.054,0,0.082,0,-0.278,-0.304,0.134,-0.674,-0.465,0.055,-0.194,-0.316,-0.25,0.025,0.243,0.109,0.155,-0.198,0.777,-0.024,0.097,-1.197,-0.09,-0.12,0.629,0.495,-0.117,0.14,-0.152,-0.111,-0.132,0.037,-0.021,0.095,-0.205,0.189,10/01/09/05@14/07/04@42/10/03
-0.193,0.217,0.204,0.558,0.637,0.851,0.908,-0.163,0.18,-0.075,0.207,0.201,0.141,0.064,0.301,0.338,0.459,0.732,1.096,0.681,0.886,0.346,0.433,0.412,0.297,0,-0.323,-0.85,-0.71,0.687,0.529,0.558,0.513,0.727,0.074,0.085,0.1,0.324,-0.248,-0.592,1.591,2.932,2.389,0.239,?,?,-0.013,0.214,0.392,-0.135,-0.35,0.104,01/03/04
-0.179,0.32,0.205,0.11,0.397,0.319,0.211,-0.244,-0.246,-0.676,-0.126,-0.047,0.027,-0.17,0.322,0.415,0.278,0.651,-0.685,0.243,0.364,0.24,-0.149,-0.003,-0.002,-0.216,-0.718,-0.653,-0.526,0.021,-0.078,?,0.374,0,0.217,-0.085,-0.259,-0.392,-0.012,-0.297,-0.178,0.464,-0.193,0.132,-0.502,?,-0.031,0.128,0.341,-1.198,-0.675,-0.361,20/01/01/01/01
-0.06,0.102,0.096,0.099,-0.043,-0.139,-0.08,0.274,0.091,0.038,0.454,0.164,0.291,0.532,0.23,0.35,0.29,0.454,0.435,0.019,0.146,-0.26,0.116,-0.202,-0.018,-0.078,-0.347,0.117,-0.448,0.234,0.155,-0.144,-0.027,-0.397,0.07,-0.293,-0.291,0.361,0.251,0.57,-0.176,-0.456,-0.432,0.256,0.579,0.383,0.053,0.198,0.164,0.78,0.145,?,11/02/03/04
