@RELATION 'spo0.names'

@ATTRIBUTE t0_green                                numeric
@ATTRIBUTE t0_green_bkg                            numeric
@ATTRIBUTE t0_red                                  numeric
@ATTRIBUTE t0_red_bkg                              numeric
@ATTRIBUTE t0_flag                                 numeric
@ATTRIBUTE t0Point5_green                          numeric
@ATTRIBUTE t0Point5_green_bkg                      numeric
@ATTRIBUTE t0Point5_red                            numeric
@ATTRIBUTE t0Point5_red_bkg                        numeric
@ATTRIBUTE t0Point5_flag                           numeric
@ATTRIBUTE t2_green                                numeric
@ATTRIBUTE t2_green_bkg                            numeric
@ATTRIBUTE t2_red                                  numeric
@ATTRIBUTE t2_red_bkg                              numeric
@ATTRIBUTE t2_flag                                 numeric
@ATTRIBUTE t5_green                                numeric
@ATTRIBUTE t5_green_bkg                            numeric
@ATTRIBUTE t5_red                                  numeric
@ATTRIBUTE t5_red_bkg                              numeric
@ATTRIBUTE t5_flag                                 numeric
@ATTRIBUTE t7_green                                numeric
@ATTRIBUTE t7_green_bkg                            numeric
@ATTRIBUTE t7_red                                  numeric
@ATTRIBUTE t7_red_bkg                              numeric
@ATTRIBUTE t7_flag                                 numeric
@ATTRIBUTE t9_green                                numeric
@ATTRIBUTE t9_green_bkg                            numeric
@ATTRIBUTE t9_red                                  numeric
@ATTRIBUTE t9_red_bkg                              numeric
@ATTRIBUTE t9_flag                                 numeric
@ATTRIBUTE t11Point5_green                         numeric
@ATTRIBUTE t11Point5_green_bkg                     numeric
@ATTRIBUTE t11Point5_red                           numeric
@ATTRIBUTE t11Point5_red_bkg                       numeric
@ATTRIBUTE t11Point5_flag                          numeric
@ATTRIBUTE gal_ndt80_green                         numeric
@ATTRIBUTE gal_ndt80_green_bkg                     numeric
@ATTRIBUTE gal_ndt80_red                           numeric
@ATTRIBUTE gal_ndt80_red_bkg                       numeric
@ATTRIBUTE gal_ndt80_flag                          numeric
@ATTRIBUTE ndt80_delete_early_green                numeric
@ATTRIBUTE ndt80_delete_early_green_bkg            numeric
@ATTRIBUTE ndt80_delete_early_red                  numeric
@ATTRIBUTE ndt80_delete_early_red_bkg              numeric
@ATTRIBUTE ndt80_delete_early_flag                 numeric
@ATTRIBUTE ndt80_delete_mid_green                  numeric
@ATTRIBUTE ndt80_delete_mid_green_green_bkg        numeric
@ATTRIBUTE ndt80_delete_mid_green_red              numeric
@ATTRIBUTE ndt80_delete_mid_green_red_bkg          numeric
@ATTRIBUTE ndt80_delete_mid_green_flag             numeric
@ATTRIBUTE t0_correlation                          numeric
@ATTRIBUTE t0Point5_correlation                    numeric
@ATTRIBUTE t2_correlation                          numeric
@ATTRIBUTE t5_correlation                          numeric
@ATTRIBUTE t7_correlation                          numeric
@ATTRIBUTE t9_correlation                          numeric
@ATTRIBUTE t11Point5_correlation                   numeric
@ATTRIBUTE ndt80_delete_early_correlation          numeric
@ATTRIBUTE ndt80_delete_mid_correlation            numeric
@ATTRIBUTE t0_regression                           numeric
@ATTRIBUTE t0Point5_regression                     numeric
@ATTRIBUTE t2_regression                           numeric
@ATTRIBUTE t5_regression                           numeric
@ATTRIBUTE t7_regression                           numeric
@ATTRIBUTE t9_regression                           numeric
@ATTRIBUTE t11Point5_regression                    numeric
@ATTRIBUTE ndt80_delete_early_regression           numeric
@ATTRIBUTE ndt80_delete_mid_regression             numeric
@ATTRIBUTE t0_g/r_ratio                            numeric
@ATTRIBUTE t0Point5_g/r_ratio                      numeric
@ATTRIBUTE t2_g/r_ratio                            numeric
@ATTRIBUTE t5_g/r_ratio                            numeric
@ATTRIBUTE t7_g/r_ratio                            numeric
@ATTRIBUTE t9_g/r_ratio                            numeric
@ATTRIBUTE t11Point5_g/r_ratio                     numeric
@ATTRIBUTE ndt80_delete_early_g/r_ratio            numeric
@ATTRIBUTE ndt80_delete_mid_g/r_ratio              numeric
@ATTRIBUTE failed_pcr                              {1,2,3,4,5}
@ATTRIBUTE blast_homology_within_genome            {no,yes}
@ATTRIBUTE overlaps_another_orf                    {no,yes}
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/13,01/02,01/02/02,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/02,01/05/03/02/04,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/05,01/20/27,01/20/31,01/20/33,01/20/37,01/20/37/01,01/25,01/25/01,02,02/01,02/01/01,02/01/03,02/04,02/07,02/07/01,02/08,02/10,02/11,02/11/05,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/02,16,16/01,16/02,16/03,16/03/01,16/03/03,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/17,16/17/01,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/09,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/25,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/02,20/09/16,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/09,20/09/18/09/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/03,30/01/05/05,30/01/05/05/01,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/10,30/05/02,30/05/02/24,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/10,32/10/03,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/07,34/07/01,34/07/02,34/11,34/11/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,38,38/07,40,40/01,40/01/03,40/01/03/01,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/03,40/10/02/03/02,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/09,99

@DATA
2096,1284,1269,630,0,2848,1165,1411,437,0,2124,1124,1279,603,0,2129,1228,1387,602,0,4533,1576,8459,1055,0,3222,1596,4875,1164,0,2019,1084,2231,660,0,10710,1152,8086,3266,0,2124,612,1082,414,0,2594,867,1849,479,0,0.712,0.9,0.89,0.872,0.953,0.94,0.902,0.933,0.561,0.779,1.55,1.354,1.018,0.378,0.405,0.529,2.189,0.583,1.27,1.72,1.47,1.14,0.39,0.43,0.59,1.98,2.26,?,?,no,12/01/01@42/16
2509,1223,1853,597,0,2756,1146,1995,400,0,2051,1096,1474,614,0,2615,1380,2048,726,0,3322,1450,4529,1083,0,1831,1302,1920,1092,0,2194,1087,2629,753,0,2074,1235,4771,3234,0,1817,548,2261,376,0,1612,883,1772,465,0,0.933,0.932,0.95,0.959,0.922,0.852,0.949,0.967,0.966,0.986,0.913,1.01,0.86,0.488,0.535,0.531,0.642,0.51,1.02,1,1.11,0.93,0.54,0.63,0.59,0.54,0.67,?,?,no,01/06/02/01@01/06/02/02@14/07/01
2261,1422,1513,825,0,4860,1811,1300,561,0,1884,1122,1147,618,0,2089,1414,1460,747,0,3941,2044,3093,1378,0,1588,1240,1330,1001,0,2334,1391,2151,1073,0,3947,1473,4900,3389,0,3219,562,1361,406,0,1927,1063,1296,653,0,0.738,0.87,0.901,0.877,0.896,0.773,0.882,0.935,0.846,0.87,3.743,1.288,0.824,0.986,0.413,0.736,2.635,1.141,1.21,4.12,1.44,0.94,1.1,1.05,0.87,1.63,2.78,?,?,no,10/01/09/05@11/02/03/01/04@11/02/03/04@14/07/04
2883,1368,2167,816,0,4289,1466,4707,706,0,2197,1450,2061,949,0,2585,1580,2235,896,0,5692,2153,6330,1643,0,1936,1464,1568,1138,0,1754,1179,1448,739,0,12186,1235,11110,3346,0,2857,748,2901,562,0,2069,952,1285,481,0,0.825,0.888,0.829,0.874,0.909,0.672,0.859,0.944,0.925,0.902,0.621,0.541,0.649,0.657,0.743,0.662,0.834,1.226,1.12,0.7,0.67,0.75,0.75,1.09,0.81,1.41,0.9,?,?,no,01/01/06/04/02@01/01/09/02@01/01/11
4055,1363,2877,688,0,3376,1389,3340,610,0,2405,1188,2002,590,0,3217,1684,1821,964,0,4398,1746,2188,1091,0,3027,1568,1921,1124,0,1543,1058,1127,668,0,3770,1155,5056,3084,0,3306,588,1948,420,0,5173,839,1411,406,0,0.911,0.904,0.91,0.877,0.911,0.864,0.888,0.943,0.965,1.174,0.672,0.784,1.561,2.134,1.473,0.97,1.681,4.167,1.22,0.72,0.86,1.78,2.41,1.83,1.05,1.32,1.77,?,?,yes,11/02/03/04@32/01@43/01/03/05
3988,1369,2841,636,0,4630,1065,1690,390,1,2812,1120,1426,542,0,3310,1666,2022,916,0,4616,1486,3030,889,0,3928,1804,3021,1317,0,1494,992,960,586,0,6718,1204,6231,3140,0,4318,560,3375,426,1,5632,897,1992,434,0,0.945,0.921,0.92,0.948,0.934,0.903,0.913,0.921,0.973,1.173,3.058,1.871,1.513,1.37,1.128,1.121,0.827,3.099,1.18,2.74,1.91,1.48,1.46,1.24,1.34,1.78,1.27,?,?,no,14/04@20/01/10@20/03@20/09/04
3529,1526,2428,862,0,3030,1184,2687,477,0,2392,1159,2023,628,0,2818,1438,1908,805,0,6233,1675,5300,1191,0,2875,1561,2019,1094,0,2096,1080,1413,703,0,13904,2538,10377,4857,0,2981,664,2218,548,0,2801,911,2634,491,0,0.814,0.94,0.917,0.915,0.916,0.899,0.935,0.912,0.95,1.109,0.779,0.808,1.182,1.045,1.259,1.333,1.287,0.853,1.27,0.83,0.88,1.25,1.1,1.42,1.43,2.05,1.38,?,?,no,14/04@16/01@20/09/07/05@20/09/13
4167,1375,3038,733,0,6200,1239,2920,507,0,2580,1184,1541,606,0,3987,1977,2470,1172,0,4861,2166,3479,1480,0,3010,1717,2214,1399,0,1933,1204,1242,766,0,9899,1332,8073,3185,0,5492,862,2685,640,0,5579,972,3153,486,0,0.83,0.921,0.85,0.87,0.864,0.705,0.853,0.943,0.939,1.064,1.858,1.265,1.284,1.116,1.051,1.168,2.066,1.684,1.21,2.05,1.49,1.54,1.34,1.58,1.53,1.75,2.26,?,?,no,12/01/01@42/16
3776,1190,3654,634,0,4410,1083,1063,386,1,2796,1176,1044,590,0,3195,1425,1151,712,0,5764,1602,1885,925,0,2177,1359,1489,995,0,4419,1104,3160,745,0,2249,1810,4122,3542,0,2160,546,609,402,1,2826,863,735,433,0,0.944,0.92,0.943,0.924,0.953,0.519,0.979,0.932,0.968,0.807,5.089,3.742,4.632,4.372,0.615,1.329,10.783,8.214,0.85,4.91,3.56,4.03,4.33,1.65,1.37,0.75,7.79,?,yes,no,12/01/01
1497,1067,966,561,0,1548,1195,781,515,0,1543,1240,1101,747,0,1885,1404,1952,793,0,2026,1603,8957,1339,0,1449,1220,2616,1173,0,1552,1079,9618,907,0,1945,1455,4573,3850,0,886,613,1537,470,0,1420,994,1358,551,0,0.793,0.622,0.752,0.806,0.838,0.287,0.819,0.949,0.971,0.736,0.782,0.535,0.306,0.039,0.03,0.049,0.204,0.921,1.06,1.32,0.85,0.41,0.05,0.15,0.05,0.67,0.25,?,?,no,10/01/03@10/03/01/01/03@10/03/02@18/02/01
2769,1261,2091,596,0,4210,1181,2933,510,0,2282,1197,1783,636,0,3070,1588,2009,851,0,4429,1588,2931,1119,0,1710,1269,1237,927,0,4067,1298,2937,816,0,5813,1511,6379,3637,0,3197,573,3158,438,0,2260,953,2141,472,0,0.853,0.95,0.941,0.942,0.909,0.442,0.92,0.98,0.957,0.927,1.172,0.846,1.243,1.421,0.676,1.176,0.954,0.755,1,1.25,0.94,1.27,1.56,1.42,1.3,1.56,0.96,?,?,no,20/09/07/03@20/09/07/27
1917,1374,1149,733,0,3045,1373,3620,740,0,1970,1236,2207,695,0,2064,1373,2663,851,0,4402,1897,12488,2640,0,2013,1523,2782,1229,0,1611,1051,2178,714,0,10232,1698,8846,3668,0,1877,698,5311,666,0,1774,937,4481,547,0,0.683,0.83,0.857,0.834,0.922,0.854,0.758,0.922,0.897,0.816,0.5,0.418,0.314,0.229,0.233,0.299,0.226,0.181,1.3,0.58,0.48,0.38,0.25,0.31,0.38,1.64,0.25,?,?,yes,10/03/01@10/03/04/09@10/03/05/01@20/09/14@42/04/05
3338,1270,3061,748,0,4241,1090,8017,470,0,2894,1399,4176,767,0,3849,1607,5423,976,0,3428,1321,3737,958,0,3277,1426,3718,1218,0,4429,1319,4894,1007,0,2847,999,5848,3237,0,2445,436,3650,355,0,5819,946,3955,416,0,0.954,0.949,0.95,0.927,0.911,0.937,0.941,0.965,0.962,0.858,0.405,0.408,0.463,0.687,0.704,0.753,0.599,1.326,0.89,0.41,0.43,0.5,0.75,0.74,0.8,0.7,0.6,?,?,no,14/04@14/13/04@16/01@20/09/13
2348,1129,1817,594,0,3530,1520,2879,685,0,2357,1299,1867,758,0,2625,1340,1683,752,0,3516,1530,2587,1022,0,1885,1290,1602,1060,0,3354,1014,4303,719,0,2226,921,4555,3055,0,2687,594,2382,401,0,2100,961,1276,427,0,0.898,0.67,0.93,0.919,0.912,0.896,0.937,0.965,0.926,0.871,0.721,0.845,1.226,1.167,0.953,0.599,1.027,1.307,0.99,0.91,0.95,1.38,1.26,1.09,0.65,0.87,1.05,?,?,no,14/13/01
3169,1420,2062,775,0,3374,1670,2567,845,0,2111,1207,1708,633,0,3331,1906,3565,1368,0,3475,1940,4361,1404,0,2938,1719,3665,1385,0,1516,1154,1260,824,0,4886,1202,5126,3071,0,3291,664,3981,496,0,4633,971,6576,508,0,0.855,0.902,0.873,0.856,0.929,0.833,0.687,0.977,0.947,1.105,0.899,0.733,0.583,0.511,0.409,0.558,0.732,0.61,1.35,0.98,0.84,0.64,0.51,0.53,0.83,1.79,0.75,?,?,no,01/04@02/13/03@14/10@16/19/03@20/03/22@42/16
3651,1411,2700,756,0,6221,1322,1861,480,0,2392,1315,1210,671,0,2768,1437,1533,722,0,7092,2291,3907,1596,0,2297,1528,1573,1163,0,1988,1124,1114,781,0,20798,1298,14481,3303,0,3972,667,1275,445,0,2836,891,1459,406,1,0.82,0.917,0.881,0.921,0.945,0.692,0.659,0.934,0.981,1.013,3.209,1.993,1.531,1.95,1.586,1.943,3.722,1.593,1.15,3.54,1.99,1.64,2.07,1.87,2.59,1.74,3.98,?,?,yes,20/01/01/01/01@20/01/07@20/09/16@20/09/18@34/01/01/01
9648,1416,11183,1024,0,16486,1519,8337,594,0,8688,1282,3758,645,0,13693,1885,3878,957,0,19606,1679,5914,1002,0,4751,1455,2339,1268,0,15670,1241,6511,857,0,13196,1836,8693,4173,0,13748,627,3816,422,0,17068,1177,2331,493,0,0.761,0.915,0.971,0.89,0.938,0.839,0.964,0.982,0.95,0.54,1.787,2.35,3.561,3.382,2.447,2.577,3.857,8.267,0.81,1.93,2.37,4.04,3.64,3.07,2.55,2.51,3.86,?,?,no,01/01/03/02/01@01/01/03/03/02@01/01/03/05/01
17658,2370,15103,1617,0,16719,1991,6328,880,0,15913,1411,5533,745,0,19946,3740,9067,2184,0,27681,3210,13890,1718,0,21805,2164,11839,1656,0,4030,1361,2327,912,0,24214,1044,17685,3154,0,27637,724,8519,470,0,26717,889,16755,415,0,0.948,0.954,0.95,0.949,0.933,0.962,0.907,0.96,0.963,1.064,2.61,3.035,2.122,1.961,1.817,1.739,3.261,1.578,1.13,2.7,3.02,2.35,2.01,1.92,1.88,1.59,3.34,?,?,no,14/01@14/04@16/03/01@20/01/10@20/09/04@32/01
4731,1220,4654,841,0,6553,1143,3015,431,0,5837,1376,2057,687,0,5872,1623,2695,953,0,10061,1925,3168,1274,0,4284,1266,1598,953,0,11125,1417,2648,760,0,7388,1300,8250,3512,0,3417,648,3131,460,0,3656,1041,4338,492,0,0.947,0.92,0.917,0.915,0.898,0.778,0.924,0.948,0.966,0.88,2.143,3.087,2.242,3.493,4.116,4.921,0.954,0.643,0.92,2.09,3.25,2.43,4.29,4.67,5.14,1.28,1.03,1,?,yes,01/04@14/01@14/04@16/01@16/19/03@20/01/10@20/09/04@32/01/07
2104,1272,1284,658,0,2692,1257,1662,546,0,1834,1160,1039,603,0,2133,1438,1203,738,0,3502,1681,3104,1140,0,1730,1360,1461,1023,0,1536,1073,1368,743,0,6883,1968,4580,3752,0,1217,624,807,418,0,1219,919,702,451,0,0.688,0.89,0.879,0.871,0.947,0.705,0.798,0.911,0.874,0.842,1.103,1.34,1.258,0.912,0.608,0.538,1.491,1.1,1.32,1.28,1.54,1.49,0.92,0.84,0.74,5.93,1.52,?,?,no,20/01/03@20/03
