@relation R_data_frame

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute labelledlabels string

@data
0.494981,0.789265,0.582875,0.9858,0.553285,0.363181,0.680242,0.442686,0.769897,0.320406,0.590652,0.522525,0.595681,0.419159,0.712975,0.585722,0.364584,0.407327,0.312429,0.812211,0.631301,0.565276,0.563526,0.536105,0.639491,0.54166,0.523026,0.562412,0.604662,0.545353,0.293284,0.62818,0.428478,0.469281,0.547394,0.658502,0.522963,0.554788,0.652748,0.48497,0.512433,0.445511,0.721585,0.509164,0.562941,0.532647,0.54906,0.468535,0.46244,0.358648,GO0009987@GO0006357@GO0000122@GO0045892@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0010629@GO1903507@GO2000113@GO0010605@GO0009892@GO0048519@GO1902679@GO0010558@GO0031327@GO0051253@GO0009890@GO0031324@GO0048523@GO0045934@GO0051172@GO0035556@GO0006468@GO0007165@GO0006464@GO0016310@GO0036211@GO0044267@GO0019538@GO0043412@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0006796@GO0006793@GO0016071@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0031325@GO0009893@GO0048522@GO0048518@GO0010604@GO0050790@GO0065009@GO0043085@GO0044093@GO0016567@GO0032446@GO0070647@GO0016043@GO0071840@GO0006397@GO0008380@GO0006396@GO0006259@GO0006281@GO0006974@GO0033554@GO0006950@GO0051716@GO0050896@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0048856@GO0032502@GO0032501@GO0006810@GO0051234@GO0051179@GO0006351@GO0097659@GO0032774@GO0006366@GO0071702@GO0071705@GO0006508@GO0015031@GO0015833@GO0045184@GO0042886@GO0008104@GO0033036@GO0006811@GO0051336@GO0051345@GO0022414@GO0022610@GO0007155@GO0048609@GO0010628@GO0043087@GO0043547@GO0045893@GO1903508@GO1902680@GO0010557@GO0031328@GO0051254@GO0009891@GO0045935@GO0051173@GO0045944
0.196834,0.250797,0.367546,0.898703,0.123541,0.462886,0.472728,0.581218,0.701393,0.633565,0.617973,0.390725,0.629803,0.483926,0.537465,0.653202,0.44207,0.458716,0.527445,0.644546,0.577245,0.423851,0.595145,0.605452,0.579105,0.528949,0.528443,0.529012,0.618997,0.484716,0.373801,0.529733,0.430772,0.528084,0.572006,0.648745,0.555691,0.54379,0.614184,0.535275,0.569167,0.473817,0.567945,0.190116,0.46866,0.473436,0.548015,0.529306,0.488956,0.332643,GO0009987@GO0006357@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0006468@GO0007165@GO0006464@GO0016310@GO0036211@GO0044267@GO0019538@GO0043412@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0006796@GO0006793@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0031325@GO0009893@GO0048522@GO0048518@GO0010604@GO0050790@GO0065009@GO0043085@GO0044093@GO0016567@GO0032446@GO0070647@GO0050896@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0048856@GO0032502@GO0032501@GO0006810@GO0051234@GO0051179@GO0006351@GO0097659@GO0032774@GO0006811@GO0051336@GO0051345@GO0022414@GO0022610@GO0007155@GO0007186@GO0048609@GO0010628@GO0055085@GO0043087@GO0043547@GO0045893@GO1903508@GO1902680@GO0010557@GO0031328@GO0051254@GO0009891@GO0045935@GO0051173@GO0045944
0.133437,0.120954,0.318225,0.891651,0.160794,0.416402,0.465172,0.545632,0.761727,0.654699,0.56614,0.487703,0.540347,0.361149,0.489393,0.666791,0.451797,0.429538,0.444314,0.620627,0.566804,0.444014,0.606164,0.593414,0.601426,0.531918,0.534682,0.543315,0.611114,0.417962,0.368791,0.522512,0.525338,0.581885,0.61545,0.714413,0.594706,0.5511,0.600329,0.55043,0.592717,0.472564,0.558829,0.3959,0.506634,0.449147,0.580163,0.514057,0.485475,0.339583,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0007165@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0048856@GO0032502@GO0032501@GO0006810@GO0051234@GO0051179@GO0006351@GO0097659@GO0032774@GO0006811@GO0055085
0.043233,0.061255,0.481639,0.935868,0.587691,0.456932,0.414975,0.445336,0.73487,0.436167,0.61993,0.413139,0.654293,0.458344,0.533511,0.693411,0.47043,0.448176,0.394686,0.693178,0.59804,0.459185,0.601176,0.594139,0.603504,0.523027,0.525453,0.510489,0.627884,0.51467,0.359065,0.53565,0.524209,0.532608,0.54891,0.632189,0.471768,0.562089,0.631305,0.508259,0.594333,0.48135,0.679824,0.55244,0.548183,0.360752,0.573015,0.501332,0.515559,0.359454,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.10817,0.220784,0.551726,0.976973,0.554732,0.424158,0.45272,0.472119,0.691911,0.439586,0.620338,0.437472,0.639891,0.447585,0.610305,0.648898,0.420872,0.453491,0.553897,0.69878,0.598589,0.428847,0.60408,0.55833,0.563798,0.565634,0.539154,0.516204,0.586676,0.514022,0.346951,0.525149,0.572308,0.518062,0.538585,0.65264,0.578749,0.554623,0.652496,0.533963,0.566646,0.47275,0.665883,0.559168,0.55307,0.475304,0.578153,0.520717,0.490025,0.347044,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.11087,0.189659,0.634151,0.907298,0.487398,0.454566,0.493752,0.451512,0.716861,0.442463,0.597492,0.427944,0.652845,0.439579,0.546934,0.654921,0.465393,0.472834,0.526417,0.655017,0.583905,0.429405,0.620229,0.599402,0.594334,0.533201,0.533858,0.518335,0.620039,0.533197,0.367591,0.536958,0.582603,0.548686,0.473607,0.659183,0.561531,0.539131,0.625121,0.535836,0.567762,0.468172,0.60243,0.568225,0.55729,0.408818,0.577077,0.503778,0.487311,0.352613,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.118861,0.210381,0.638693,0.912256,0.49092,0.458124,0.432299,0.487997,0.680058,0.470411,0.608895,0.422726,0.658308,0.437253,0.537409,0.66174,0.471093,0.472301,0.53955,0.658832,0.585702,0.423591,0.61493,0.599494,0.597337,0.537122,0.530512,0.521606,0.617108,0.516323,0.387366,0.518849,0.445443,0.525104,0.524646,0.651246,0.564966,0.551569,0.622888,0.520627,0.564904,0.466088,0.612279,0.558164,0.560674,0.444561,0.578075,0.50129,0.482563,0.3516,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0016310@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0006796@GO0006793@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.082734,0.203549,0.591231,0.97737,0.509561,0.447835,0.500472,0.483377,0.69069,0.447794,0.60324,0.421625,0.654698,0.436635,0.536136,0.65672,0.469418,0.4744,0.536794,0.656802,0.586665,0.428467,0.620896,0.59869,0.583399,0.532452,0.528407,0.51685,0.622063,0.532041,0.372335,0.536026,0.584502,0.542587,0.492986,0.65705,0.54853,0.552135,0.624928,0.523479,0.574148,0.467253,0.617692,0.554027,0.564476,0.477293,0.583256,0.510453,0.476322,0.344954,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.077569,0.059756,0.515933,0.877578,0.577392,0.477196,0.396244,0.478412,0.723814,0.436279,0.553829,0.449524,0.68562,0.473585,0.49087,0.647535,0.446941,0.435302,0.404515,0.673869,0.601106,0.413351,0.61977,0.606189,0.632491,0.555762,0.491736,0.544084,0.582269,0.498285,0.370037,0.490183,0.495615,0.521452,0.526653,0.613209,0.47377,0.562919,0.631756,0.515199,0.584058,0.484414,0.64241,0.541036,0.547456,0.340561,0.599014,0.493089,0.44506,0.376349,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.103841,0.182536,0.604601,0.92577,0.512019,0.434493,0.525114,0.497499,0.702595,0.432173,0.584756,0.402751,0.663158,0.432498,0.544429,0.644037,0.478406,0.477201,0.539382,0.661978,0.597443,0.44419,0.62112,0.614285,0.586778,0.543821,0.536737,0.48226,0.593968,0.511875,0.352194,0.517251,0.58611,0.557028,0.492405,0.674733,0.555407,0.540533,0.619561,0.51296,0.574985,0.451713,0.625553,0.551869,0.568904,0.433069,0.575388,0.509252,0.476025,0.349824,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
