@relation R_data_frame

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute unlabelledlabels string

@data
0.121632,0.214225,0.63834,0.913637,0.490467,0.461669,0.45999,0.474182,0.694967,0.462073,0.607783,0.420339,0.655585,0.445114,0.54035,0.65685,0.468266,0.472949,0.547069,0.654819,0.582907,0.422571,0.614378,0.600733,0.593921,0.536768,0.529492,0.520636,0.616385,0.524233,0.381287,0.525347,0.501979,0.534382,0.507598,0.656689,0.565603,0.547516,0.623839,0.524692,0.561188,0.46566,0.611274,0.559087,0.5622,0.435802,0.576471,0.504459,0.484427,0.353767,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0016310@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0006796@GO0006793@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.134035,0.203779,0.581864,0.912718,0.531792,0.540672,0.496782,0.43592,0.709135,0.452983,0.607745,0.459186,0.666311,0.410473,0.531581,0.64334,0.4892,0.465361,0.529543,0.627109,0.583606,0.44087,0.59268,0.597246,0.640228,0.622282,0.531362,0.502888,0.643643,0.553694,0.365428,0.562376,0.598775,0.542696,0.521984,0.651188,0.48506,0.542166,0.648692,0.520232,0.534021,0.440838,0.570309,0.566895,0.555431,0.398662,0.576139,0.483488,0.49097,0.343442,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.104038,0.139966,0.564241,0.901623,0.55029,0.435564,0.457768,0.497209,0.691515,0.434273,0.538521,0.454753,0.68129,0.460332,0.527449,0.657079,0.441254,0.466374,0.483916,0.639957,0.594319,0.427454,0.632199,0.638074,0.566799,0.526411,0.546588,0.515534,0.606928,0.523732,0.411706,0.563825,0.535166,0.55011,0.556062,0.663425,0.528172,0.547119,0.630105,0.516351,0.585892,0.478613,0.652621,0.555559,0.557507,0.40204,0.567514,0.524119,0.459511,0.357393,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.121017,0.215604,0.639357,0.914847,0.490146,0.45623,0.448482,0.476016,0.688489,0.464757,0.608326,0.424281,0.658627,0.437411,0.537935,0.659981,0.471056,0.475178,0.544996,0.657749,0.58564,0.422665,0.614897,0.598509,0.593751,0.537359,0.530193,0.520074,0.61634,0.519183,0.383301,0.521889,0.483209,0.530377,0.510565,0.653484,0.566218,0.548369,0.623512,0.523007,0.564793,0.465081,0.61111,0.559248,0.56093,0.440625,0.57723,0.501199,0.48444,0.352845,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0016310@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0006796@GO0006793@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.112645,0.181369,0.613567,0.904154,0.504268,0.505991,0.473234,0.456453,0.692102,0.468228,0.613229,0.427588,0.664773,0.421352,0.521577,0.657715,0.477281,0.465619,0.533893,0.6836,0.567995,0.440372,0.615463,0.591868,0.532469,0.509328,0.517299,0.523905,0.622779,0.5092,0.380161,0.517548,0.526149,0.535583,0.515577,0.653574,0.52512,0.547331,0.626182,0.524001,0.543913,0.460308,0.594684,0.559051,0.567188,0.423171,0.575093,0.494516,0.49869,0.348626,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.593778,0.944329,0.622048,0.951074,0.400029,0.423427,0.451674,0.629395,0.593062,0.311268,0.667469,0.395797,0.641077,0.439828,0.481732,0.635158,0.472033,0.379966,0.264958,0.676461,0.58375,0.45109,0.62515,0.599424,0.583939,0.536788,0.544128,0.519876,0.620743,0.503077,0.366335,0.524574,0.563376,0.534567,0.524794,0.654105,0.556154,0.559894,0.635931,0.529491,0.56729,0.480728,0.610805,0.431291,0.534143,0.420808,0.600419,0.458215,0.621555,0.263736,GO1903047@GO0022402@GO0009987@GO0006357@GO0000122@GO0045892@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0010629@GO1903507@GO2000113@GO0010605@GO0009892@GO0048519@GO1902679@GO0010558@GO0031327@GO0051253@GO0009890@GO0031324@GO0048523@GO0045934@GO0051172@GO0035556@GO0006468@GO0007165@GO0006464@GO0016310@GO0036211@GO0044267@GO0019538@GO0043412@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0006796@GO0006793@GO0016071@GO0016070@GO0044265@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0044248@GO0009056@GO1901575@GO0009057@GO0031325@GO0009893@GO0048522@GO0048518@GO0010604@GO0050790@GO0065009@GO0043085@GO0044093@GO0016567@GO0032446@GO0070647@GO0006996@GO0016043@GO0071840@GO0000377@GO0000398@GO0006397@GO0000375@GO0008380@GO0006396@GO0006259@GO0051276@GO0006310@GO0006281@GO0006974@GO0033554@GO0006950@GO0051716@GO0050896@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0048731@GO0048856@GO0032502@GO0032501@GO0048513@GO0007166@GO0006810@GO0051234@GO0051179@GO0006260@GO0006351@GO0097659@GO0032774@GO0006366@GO0071702@GO0071705@GO0046907@GO0051641@GO0051649@GO0006412@GO0043043@GO0006518@GO0043604@GO1901566@GO0043603@GO1901564@GO0006508@GO0019941@GO0006511@GO0043632@GO0051603@GO0006886@GO0015031@GO0015833@GO0045184@GO0042886@GO0008104@GO0033036@GO0006811@GO0043065@GO0042981@GO0043068@GO0043067@GO0010941@GO0010942@GO0051336@GO0051345@GO0006952@GO0051726@GO0007062@GO0000280@GO0048285@GO0022414@GO0022610@GO0007155@GO0007186@GO0007154@GO0023052@GO0048609@GO0007399@GO0051704@GO0042127@GO0008284@GO0008285@GO0016032@GO0044403@GO0044764@GO0044419@GO0010628@GO0043161@GO0010498@GO0030163@GO0032259@GO0055085@GO0043066@GO0043069@GO0060548@GO0043087@GO0043547@GO0045893@GO1903508@GO1902680@GO0010557@GO0031328@GO0051254@GO0009891@GO0045935@GO0051173@GO0045944
0.10625,0.172733,0.608342,0.90731,0.516222,0.444552,0.427121,0.542315,0.658722,0.467682,0.592814,0.397255,0.664016,0.430569,0.541536,0.651049,0.475875,0.469804,0.52541,0.671248,0.592922,0.438504,0.622071,0.606438,0.587618,0.544654,0.538705,0.498402,0.600494,0.492918,0.379194,0.500677,0.383204,0.526525,0.557553,0.661321,0.549392,0.555781,0.618997,0.499414,0.575474,0.456361,0.632065,0.546072,0.567082,0.459636,0.578017,0.506941,0.472217,0.35337,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0016310@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0006796@GO0006793@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.115071,0.204734,0.637156,0.914076,0.487145,0.452978,0.476501,0.45537,0.708886,0.449574,0.601253,0.429354,0.65959,0.434794,0.541398,0.658275,0.46841,0.471039,0.534278,0.654405,0.587577,0.424442,0.617184,0.598589,0.595321,0.535504,0.529186,0.521435,0.616446,0.529391,0.372431,0.533005,0.560202,0.542495,0.484145,0.662314,0.566308,0.540737,0.623899,0.52636,0.563515,0.463859,0.612171,0.560311,0.56038,0.418356,0.57751,0.500115,0.487329,0.350602,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.087834,0.133357,0.620679,0.885308,0.495895,0.464977,0.377034,0.506291,0.655964,0.482769,0.608835,0.420277,0.650964,0.429295,0.52745,0.655471,0.475322,0.452639,0.480394,0.640181,0.577086,0.443872,0.628484,0.586591,0.588655,0.531375,0.535965,0.527162,0.620025,0.49828,0.388907,0.507543,0.352687,0.507501,0.563494,0.643864,0.56762,0.553761,0.62578,0.511864,0.561831,0.469661,0.614259,0.55432,0.560972,0.458703,0.58052,0.495761,0.485943,0.349949,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.254503,0.163324,0.223011,0.868351,0.807165,0.252116,0.309745,0.269002,0.897587,0.38256,0.782254,0.25529,0.539563,0.433328,0.275113,0.531233,0.601901,0.680092,0.336492,0.387824,0.598466,0.562814,0.59901,0.437021,0.565112,0.441623,0.633297,0.631793,0.569118,0.55981,0.336407,0.503618,0.487588,0.548729,0.518324,0.60575,0.62212,0.501541,0.662322,0.489076,0.523018,0.416718,0.522068,0.488283,0.6395,0.47131,0.567042,0.526715,0.405112,0.30817,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0006468@GO0007165@GO0006464@GO0016310@GO0036211@GO0044267@GO0019538@GO0043412@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0006796@GO0006793@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0050790@GO0065009@GO0043085@GO0044093@GO0006950@GO0050896@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006810@GO0051234@GO0051179@GO0006351@GO0097659@GO0032774@GO0071702@GO0071705@GO0015031@GO0015833@GO0045184@GO0042886@GO0008104@GO0033036@GO0006811@GO0051336@GO0051345@GO0006952@GO0006954@GO0022610@GO0007155@GO0043087@GO0043547
