第1 个acc：96.666667	 rec：0.818182	 spe：0.987342	 pre：0.900000	 fm：0.857143;
第2 个acc：96.666667	 rec：0.818182	 spe：0.987342	 pre：0.900000	 fm：0.857143;
第3 个acc：96.666667	 rec：1.000000	 spe：0.000000	 pre：0.966667	 fm：0.983051;
第4 个acc：94.444444	 rec：0.809524	 spe：0.985507	 pre：0.944444	 fm：0.871795;
第5 个acc：94.444444	 rec：0.833333	 spe：0.972222	 pre：0.882353	 fm：0.857143;
第6 个acc：94.444444	 rec：0.833333	 spe：0.972222	 pre：0.882353	 fm：0.857143;
第7 个acc：98.888889	 rec：1.000000	 spe：0.000000	 pre：0.988889	 fm：0.994413;
第8 个acc：98.888889	 rec：1.000000	 spe：0.000000	 pre：0.988889	 fm：0.994413;
第9 个acc：98.888889	 rec：1.000000	 spe：0.000000	 pre：0.988889	 fm：0.994413;
第10 个acc：98.888889	 rec：1.000000	 spe：0.000000	 pre：0.988889	 fm：0.994413;
第11 个acc：98.888889	 rec：1.000000	 spe：0.000000	 pre：0.988889	 fm：0.994413;
第12 个acc：98.888889	 rec：1.000000	 spe：0.000000	 pre：0.988889	 fm：0.994413;
第13 个acc：98.888889	 rec：1.000000	 spe：0.000000	 pre：0.988889	 fm：0.994413;
第14 个acc：98.888889	 rec：1.000000	 spe：0.000000	 pre：0.988889	 fm：0.994413;
第15 个acc：98.888889	 rec：1.000000	 spe：0.000000	 pre：0.988889	 fm：0.994413;
第16 个acc：98.888889	 rec：1.000000	 spe：0.000000	 pre：0.988889	 fm：0.994413;
第17 个acc：98.888889	 rec：1.000000	 spe：0.000000	 pre：0.988889	 fm：0.994413;
第18 个acc：98.888889	 rec：1.000000	 spe：0.000000	 pre：0.988889	 fm：0.994413;
第19 个acc：98.888889	 rec：1.000000	 spe：0.000000	 pre：0.988889	 fm：0.994413;
第20 个acc：98.888889	 rec：1.000000	 spe：0.000000	 pre：0.988889	 fm：0.994413;
第21 个acc：98.888889	 rec：1.000000	 spe：0.000000	 pre：0.988889	 fm：0.994413;
第22 个acc：98.888889	 rec：1.000000	 spe：0.000000	 pre：0.988889	 fm：0.994413;
第23 个acc：98.888889	 rec：1.000000	 spe：0.000000	 pre：0.988889	 fm：0.994413;
第24 个acc：98.888889	 rec：1.000000	 spe：0.000000	 pre：0.988889	 fm：0.994413;
第25 个acc：94.444444	 rec：0.833333	 spe：0.972222	 pre：0.882353	 fm：0.857143;
第26 个acc：94.444444	 rec：0.833333	 spe：0.972222	 pre：0.882353	 fm：0.857143;
第27 个acc：94.444444	 rec：0.833333	 spe：0.972222	 pre：0.882353	 fm：0.857143;
第28 个acc：93.333333	 rec：0.833333	 spe：0.958333	 pre：0.833333	 fm：0.833333;
第29 个acc：93.333333	 rec：0.833333	 spe：0.958333	 pre：0.833333	 fm：0.833333;
第30 个acc：93.333333	 rec：0.833333	 spe：0.958333	 pre：0.833333	 fm：0.833333;
第31 个acc：94.444444	 rec：0.833333	 spe：0.972222	 pre：0.882353	 fm：0.857143;
第32 个acc：94.444444	 rec：0.833333	 spe：0.972222	 pre：0.882353	 fm：0.857143;
第33 个acc：94.444444	 rec：0.833333	 spe：0.972222	 pre：0.882353	 fm：0.857143;
第34 个acc：94.444444	 rec：0.833333	 spe：0.972222	 pre：0.882353	 fm：0.857143;
第35 个acc：94.444444	 rec：0.833333	 spe：0.972222	 pre：0.882353	 fm：0.857143;
第36 个acc：93.333333	 rec：0.833333	 spe：0.958333	 pre：0.833333	 fm：0.833333;
第37 个acc：93.333333	 rec：0.833333	 spe：0.958333	 pre：0.833333	 fm：0.833333;
第38 个acc：94.444444	 rec：0.833333	 spe：0.972222	 pre：0.882353	 fm：0.857143;
第39 个acc：94.444444	 rec：0.833333	 spe：0.972222	 pre：0.882353	 fm：0.857143;
第40 个acc：95.555556	 rec：0.764706	 spe：1.000000	 pre：1.000000	 fm：0.866667;
第41 个acc：92.222222	 rec：0.857143	 spe：0.942029	 pre：0.818182	 fm：0.837209;
