"violatelabels" "0to1labels" "1to0labels"
"1" 3 0 3
"2" 1 0 0
"3" 44 1 0
"4" 46 2 42
"5" 1 46 0
"6" 34 1 0
"7" 35 0 0
"8" 1 0 0
"9" 7 1 33
"10" 10 0 0
"11" 5 2 33
"12" 40 0 1
"13" 30 0 7
"14" 1 0 10
"15" 28 5 0
"16" 72 36 4
"17" 10 0 30
"18" 9 0 0
"19" 4 1 0
"20" 1 28 0
"21" 46 0 72
"22" 10 0 10
"23" 10 0 9
"24" 2 2 2
"25" 12 1 0
"26" 11 0 46
"27" 1 0 0
"28" 26 0 0
"29" 11 0 0
"30" 6 0 10
"31" 21 0 10
"32" 24 2 0
"33" 43 12 0
"34" 8 0 0
"35" 18 8 3
"36" 3 0 1
"37" 11 7 19
"38" 12 0 0
"39" 32 11 0
"40" 8 0 6
"41" 1 0 0
"42" 18 21 0
"43" 10 0 0
"44" 11 0 0
"45" 1 24 0
"46" 27 0 0
"47" 36 24 19
"48" 8 0 0
"49" 1 0 8
"50" 14 18 0
"51" 38 0 0
"52" 3 3 0
"53" 9 1 10
"54" 4 5 7
"55" 32 0 0
"56" 28 1 31
"57" 3 0 8
