@relation R_data_frame
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute class hierarchical GO0009987/GO0022402,root/GO0009987,GO0022402/GO1903047,GO0006357/GO0000122,GO0045892/GO0000122,GO0006355/GO0006357,GO0010468/GO0006355,GO1903506/GO0006355,GO2000112/GO0006355,GO0060255/GO0010468,GO0019222/GO0060255,GO0050789/GO0019222,GO0065007/GO0050789,root/GO0065007,GO2001141/GO1903506,GO0010556/GO2001141,GO0031326/GO2001141,GO0051252/GO2001141,GO0009889/GO0010556,GO0060255/GO0010556,GO0019222/GO0009889,GO0009889/GO0031326,GO0031323/GO0031326,GO0019222/GO0031323,GO0050794/GO0031323,GO0050789/GO0050794,GO0019219/GO0051252,GO0060255/GO0051252,GO0031323/GO0019219,GO0051171/GO0019219,GO0080090/GO0019219,GO0019222/GO0051171,GO0019222/GO0080090,GO0010556/GO2000112,GO0031326/GO2000112,GO0006355/GO0045892,GO0010629/GO0045892,GO1903507/GO0045892,GO2000113/GO0045892,GO0010468/GO0010629,GO0010605/GO0010629,GO0009892/GO0010605,GO0060255/GO0010605,GO0019222/GO0009892,GO0048519/GO0009892,GO0050789/GO0048519,GO1902679/GO1903507,GO1903506/GO1903507,GO0010558/GO1902679,GO0031327/GO1902679,GO0051253/GO1902679,GO2001141/GO1902679,GO0009890/GO0010558,GO0010556/GO0010558,GO0010605/GO0010558,GO0009889/GO0009890,GO0009892/GO0009890,GO0009890/GO0031327,GO0031324/GO0031327,GO0031326/GO0031327,GO0009892/GO0031324,GO0031323/GO0031324,GO0048523/GO0031324,GO0048519/GO0048523,GO0050794/GO0048523,GO0010605/GO0051253,GO0045934/GO0051253,GO0051252/GO0051253,GO0019219/GO0045934,GO0031324/GO0045934,GO0051172/GO0045934,GO0009892/GO0051172,GO0051171/GO0051172,GO0010558/GO2000113,GO0031327/GO2000113,GO2000112/GO2000113,GO0006464/GO0006468,GO0016310/GO0006468,GO0036211/GO0006464,GO0044267/GO0006464,GO0019538/GO0036211,GO0043412/GO0036211,GO0043170/GO0019538,GO0044238/GO0019538,GO0071704/GO0043170,GO0008152/GO0071704,root/GO0008152,GO0008152/GO0044238,GO0043170/GO0043412,GO0019538/GO0044267,GO0044260/GO0044267,GO0043170/GO0044260,GO0044237/GO0044260,GO0008152/GO0044237,GO0009987/GO0044237,GO0006796/GO0016310,GO0006793/GO0006796,GO0044237/GO0006793,GO0009987/GO0007165,GO0050794/GO0007165,GO0007165/GO0035556,GO0044260/GO0016070,GO0090304/GO0016070,GO0006139/GO0090304,GO0043170/GO0090304,GO0006725/GO0006139,GO0034641/GO0006139,GO0044238/GO0006139,GO0046483/GO0006139,GO1901360/GO0006139,GO0044237/GO0006725,GO0006807/GO0034641,GO0044237/GO0034641,GO0008152/GO0006807,GO0044237/GO0046483,GO0071704/GO1901360,GO0009056/GO0044248,GO0044237/GO0044248,GO0008152/GO0009056,GO0009056/GO1901575,GO0071704/GO1901575,GO0009057/GO0044265,GO0044248/GO0044265,GO0044260/GO0044265,GO0043170/GO0009057,GO1901575/GO0009057,GO0016070/GO0016071,GO0009893/GO0031325,GO0031323/GO0031325,GO0048522/GO0031325,GO0019222/GO0009893,GO0048518/GO0009893,GO0050789/GO0048518,GO0048518/GO0048522,GO0050794/GO0048522,GO0009893/GO0010604,GO0060255/GO0010604,GO0065009/GO0050790,GO0065007/GO0065009,GO0044093/GO0043085,GO0050790/GO0043085,GO0065009/GO0044093,GO0050789/GO0048583,GO0016567/GO0000209,GO0032446/GO0016567,GO0070647/GO0032446,GO0006464/GO0070647,GO0016043/GO0006996,GO0009987/GO0016043,GO0071840/GO0016043,root/GO0071840,GO0000377/GO0000398,GO0006397/GO0000398,GO0000375/GO0000377,GO0008380/GO0000375,GO0006396/GO0008380,GO0016070/GO0006396,GO0006396/GO0006397,GO0016071/GO0006397,GO0044260/GO0006259,GO0090304/GO0006259,GO0006996/GO0051276,GO0006259/GO0006310,GO0006259/GO0006281,GO0006974/GO0006281,GO0033554/GO0006974,GO0006950/GO0033554,GO0051716/GO0033554,GO0050896/GO0006950,root/GO0050896,GO0009987/GO0051716,GO0050896/GO0051716,GO0009059/GO0034645,GO0044249/GO0034645,GO0044260/GO0034645,GO0043170/GO0009059,GO1901576/GO0009059,GO0009058/GO1901576,GO0071704/GO1901576,GO0008152/GO0009058,GO0009058/GO0044249,GO0044237/GO0044249,GO0006139/GO0034654,GO0018130/GO0034654,GO0019438/GO0034654,GO0044271/GO0034654,GO1901362/GO0034654,GO0044249/GO0018130,GO0046483/GO0018130,GO0006725/GO0019438,GO0044249/GO0019438,GO0034641/GO0044271,GO0044249/GO0044271,GO1901360/GO1901362,GO1901576/GO1901362,GO0048856/GO0048731,GO0032502/GO0048856,root/GO0032502,root/GO0032501,GO0048856/GO0048513,root/GO0002376,GO0007165/GO0007166,GO0002376/GO0006955,GO0050896/GO0006955,GO0006810/GO0016192,GO0051234/GO0006810,GO0051179/GO0051234,root/GO0051179,GO0044238/GO0005975,GO0071704/GO0005975,GO0006259/GO0006260,GO0034645/GO0006260,GO0034645/GO0006351,GO0097659/GO0006351,GO0032774/GO0097659,GO0009059/GO0032774,GO0016070/GO0032774,GO0034654/GO0032774,GO0016072/GO0006364,GO0034470/GO0006364,GO0034660/GO0016072,GO0016070/GO0034660,GO0006396/GO0034470,GO0034660/GO0034470,GO0006351/GO0006366,GO0006810/GO0071702,GO0006810/GO0071705,GO0006810/GO0046907,GO0051641/GO0046907,GO0051649/GO0046907,GO0051179/GO0051641,GO0051234/GO0051649,GO0034645/GO0006412,GO0043043/GO0006412,GO0044267/GO0006412,GO0006518/GO0043043,GO0043604/GO0043043,GO1901566/GO0043043,GO0043603/GO0006518,GO1901564/GO0006518,GO0034641/GO0043603,GO0006807/GO1901564,GO0071704/GO1901564,GO0043603/GO0043604,GO0044271/GO0043604,GO1901564/GO1901566,GO1901576/GO1901566,GO0006796/GO0016311,GO0019538/GO0006508,GO0019941/GO0006511,GO0043632/GO0019941,GO0051603/GO0019941,GO0044265/GO0043632,GO0006508/GO0051603,GO0015031/GO0006886,GO0046907/GO0006886,GO0015833/GO0015031,GO0045184/GO0015031,GO0042886/GO0015833,GO0071702/GO0015833,GO0071705/GO0042886,GO0008104/GO0045184,GO0051234/GO0045184,GO0033036/GO0008104,GO0051179/GO0033036,GO0006810/GO0006811,GO0042981/GO0043065,GO0043068/GO0043065,GO0043067/GO0042981,GO0010941/GO0043067,GO0050794/GO0010941,GO0010942/GO0043068,GO0043067/GO0043068,GO0010941/GO0010942,GO0048522/GO0010942,GO0050790/GO0051336,GO0043085/GO0051345,GO0051336/GO0051345,GO0032501/GO0003008,GO0006950/GO0006952,GO0006952/GO0006954,GO0050794/GO0051726,GO0022402/GO0007062,GO0051276/GO0007062,GO0048285/GO0000280,GO0006996/GO0048285,root/GO0022414,GO0022610/GO0007155,root/GO0022610,GO0007165/GO0007186,GO0009987/GO0007154,root/GO0023052,GO0022414/GO0048609,GO0048731/GO0007399,root/GO0051704,GO0050896/GO0042221,GO0050953/GO0007601,GO0007600/GO0050953,GO0050877/GO0007600,GO0003008/GO0050877,GO0042127/GO0008284,GO0048522/GO0008284,GO0050794/GO0042127,GO0042127/GO0008285,GO0048523/GO0008285,GO0044403/GO0016032,GO0044764/GO0016032,GO0044419/GO0044403,GO0051704/GO0044419,GO0009987/GO0044764,GO0051704/GO0044764,GO0010468/GO0010628,GO0010604/GO0010628,GO0018193/GO0018205,GO0006464/GO0018193,GO0018205/GO0016925,GO0032446/GO0016925,GO0006511/GO0043161,GO0010498/GO0043161,GO0030163/GO0010498,GO0051603/GO0010498,GO0009057/GO0030163,GO0019538/GO0030163,GO0008152/GO0032259,GO0006811/GO0034220,GO0055085/GO0034220,GO0006810/GO0055085,GO0042221/GO0042493,GO0042981/GO0043066,GO0043069/GO0043066,GO0043067/GO0043069,GO0060548/GO0043069,GO0010941/GO0060548,GO0048523/GO0060548,GO0043087/GO0043547,GO0051345/GO0043547,GO0051336/GO0043087,GO0006952/GO0045087,GO0006955/GO0045087,GO0006355/GO0045893,GO0010628/GO0045893,GO1903508/GO0045893,GO1902680/GO1903508,GO1903506/GO1903508,GO0010557/GO1902680,GO0031328/GO1902680,GO0051254/GO1902680,GO2001141/GO1902680,GO0009891/GO0010557,GO0010556/GO0010557,GO0010604/GO0010557,GO0009889/GO0009891,GO0009893/GO0009891,GO0009891/GO0031328,GO0031325/GO0031328,GO0031326/GO0031328,GO0010604/GO0051254,GO0045935/GO0051254,GO0051252/GO0051254,GO0019219/GO0045935,GO0031325/GO0045935,GO0051173/GO0045935,GO0009893/GO0051173,GO0051171/GO0051173,GO0006357/GO0045944,GO0045893/GO0045944
@data
0.131968,0.231345,0.633901,0.91718,0.500286,0.457233,0.427203,0.487797,0.676366,0.47231,0.609275,0.422881,0.657135,0.436854,0.542239,0.660323,0.469829,0.477875,0.554805,0.659058,0.586328,0.42303,0.614706,0.598713,0.591879,0.535357,0.530103,0.522186,0.617156,0.513309,0.385914,0.52296,0.436578,0.522323,0.529085,0.649923,0.561613,0.549004,0.623706,0.518907,0.564534,0.467397,0.615206,0.556254,0.560747,0.450932,0.578707,0.501733,0.481885,0.353524,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0016310@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0006796@GO0006793@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006810@GO0051234@GO0051179@GO0006351@GO0097659@GO0032774
0.124098,0.221183,0.639207,0.916244,0.491464,0.456404,0.448973,0.476179,0.688384,0.464965,0.608842,0.423863,0.658359,0.437305,0.538558,0.660269,0.471271,0.475519,0.548947,0.657069,0.585695,0.421998,0.614548,0.598684,0.59388,0.536973,0.530772,0.519583,0.616009,0.518554,0.383735,0.522029,0.484104,0.530162,0.510102,0.65299,0.565691,0.548046,0.623752,0.522624,0.564894,0.465055,0.61049,0.559999,0.559939,0.441493,0.577645,0.501674,0.483781,0.352682,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0016310@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0006796@GO0006793@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.08244,0.055809,0.463085,0.894287,0.612338,0.468764,0.469299,0.492095,0.66209,0.436788,0.596045,0.485034,0.640807,0.453882,0.662412,0.672599,0.506916,0.48201,0.378555,0.718288,0.637707,0.433013,0.645714,0.607428,0.609581,0.531734,0.50304,0.517848,0.656729,0.514233,0.347806,0.502303,0.554525,0.548224,0.568353,0.612703,0.539001,0.648771,0.655527,0.43253,0.570457,0.494374,0.583004,0.563891,0.544813,0.404807,0.56168,0.539954,0.499306,0.376502,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.126618,0.105445,0.37692,0.861527,0.279303,0.450881,0.452038,0.468312,0.620456,0.142981,0.600728,0.364596,0.646233,0.432036,0.552345,0.605379,0.474711,0.44666,0.432663,0.628159,0.551284,0.467596,0.659122,0.596464,0.575903,0.51061,0.542537,0.485448,0.607243,0.812206,0.442821,0.346912,0.559696,0.483801,0.514833,0.726446,0.514294,0.487186,0.619195,0.519618,0.557945,0.474541,0.659464,0.630856,0.587228,0.448517,0.595767,0.483766,0.495512,0.373582,GO0009987@GO0006357@GO0000122@GO0045892@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0010629@GO1903507@GO2000113@GO0010605@GO0009892@GO0048519@GO1902679@GO0010558@GO0031327@GO0051253@GO0009890@GO0031324@GO0048523@GO0045934@GO0051172@GO0007165@GO0016310@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0006796@GO0006793@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0031325@GO0009893@GO0048522@GO0048518@GO0010604@GO0050790@GO0065009@GO0043085@GO0044093@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0048856@GO0032502@GO0032501@GO0006810@GO0051234@GO0051179@GO0006351@GO0097659@GO0032774@GO0006811@GO0051336@GO0051345@GO0010628@GO0043087@GO0043547@GO0045893@GO1903508@GO1902680@GO0010557@GO0031328@GO0051254@GO0009891@GO0045935@GO0051173@GO0045944
0.081295,0.200454,0.596241,0.972117,0.510967,0.44752,0.439718,0.531638,0.656544,0.470505,0.618673,0.411723,0.652571,0.437312,0.534168,0.660683,0.469881,0.469339,0.533998,0.658492,0.583045,0.427805,0.61692,0.597783,0.592027,0.536686,0.533829,0.519027,0.620146,0.51382,0.391647,0.517719,0.433885,0.520381,0.544913,0.648202,0.552604,0.560345,0.624233,0.517695,0.575773,0.470041,0.621568,0.550976,0.563097,0.509655,0.585164,0.51113,0.471585,0.349941,GO0008152
0.141448,0.121837,0.30994,0.882481,0.199876,0.541165,0.515688,0.54458,0.755254,0.765593,0.601738,0.42746,0.619617,0.436724,0.519478,0.645804,0.44951,0.431168,0.44257,0.617511,0.572154,0.447731,0.614444,0.578104,0.598237,0.534251,0.533155,0.546326,0.619749,0.451745,0.337793,0.536885,0.529279,0.555169,0.583813,0.663646,0.477939,0.560777,0.625495,0.511285,0.537595,0.457305,0.561325,0.573034,0.562782,0.438367,0.57829,0.501522,0.479203,0.344299,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0007165@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006810@GO0051234@GO0051179@GO0006351@GO0097659@GO0032774@GO0006811
0.114716,0.204634,0.637796,0.914208,0.486032,0.454695,0.478289,0.453435,0.709329,0.449867,0.601085,0.429862,0.659256,0.436189,0.541225,0.657433,0.468279,0.471578,0.533358,0.655973,0.587692,0.422886,0.615738,0.599861,0.594095,0.536439,0.528488,0.519419,0.615817,0.530728,0.37304,0.532612,0.563454,0.542112,0.483475,0.659442,0.566126,0.543546,0.623459,0.528247,0.565072,0.462862,0.608676,0.56297,0.560683,0.41768,0.575939,0.502498,0.48878,0.349798,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.10475,0.148519,0.542383,0.920915,0.562789,0.403133,0.458957,0.431493,0.702604,0.462582,0.67799,0.384509,0.663066,0.400191,0.536279,0.548267,0.46815,0.468923,0.486646,0.640224,0.571274,0.375275,0.59965,0.652929,0.586263,0.510956,0.54555,0.498366,0.626508,0.502843,0.366422,0.548752,0.541595,0.527642,0.507618,0.64511,0.553563,0.567422,0.602387,0.530199,0.576242,0.485821,0.626101,0.574241,0.55705,0.439945,0.578109,0.494401,0.507319,0.344691,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
0.381153,0.361545,0.178912,0.881243,0.788116,0.923718,0.545811,0.467554,0.691622,0.5114,0.706214,0.467579,0.725274,0.331814,0.505613,0.724941,0.479965,0.481141,0.448569,0.625563,0.59786,0.440316,0.608979,0.604701,0.649723,0.526867,0.51757,0.447161,0.608832,0.696417,0.42132,0.507528,0.341116,0.499585,0.357434,0.713939,0.81768,0.499899,0.592591,0.519114,0.671027,0.484556,0.694149,0.568058,0.536496,0.46903,0.588895,0.493642,0.446989,0.35947,GO0009987@GO0006357@GO0000122@GO0045892@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0010629@GO1903507@GO2000113@GO0010605@GO0009892@GO0048519@GO1902679@GO0010558@GO0031327@GO0051253@GO0009890@GO0031324@GO0048523@GO0045934@GO0051172@GO0035556@GO0006468@GO0007165@GO0006464@GO0016310@GO0036211@GO0044267@GO0019538@GO0043412@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0006796@GO0006793@GO0016071@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0031325@GO0009893@GO0048522@GO0048518@GO0010604@GO0050790@GO0065009@GO0043085@GO0044093@GO0016567@GO0032446@GO0070647@GO0016043@GO0071840@GO0006397@GO0006396@GO0006974@GO0033554@GO0006950@GO0051716@GO0050896@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0048731@GO0048856@GO0032502@GO0032501@GO0048513@GO0016192@GO0006810@GO0051234@GO0051179@GO0006351@GO0097659@GO0032774@GO0006366@GO0071702@GO0071705@GO0046907@GO0051641@GO0051649@GO0006508@GO0006886@GO0015031@GO0015833@GO0045184@GO0042886@GO0008104@GO0033036@GO0006811@GO0051336@GO0051345@GO0022610@GO0007155@GO0007186@GO0007154@GO0023052@GO0007399@GO0051704@GO0016032@GO0044403@GO0044764@GO0044419@GO0010628@GO0034220@GO0055085@GO0043087@GO0043547@GO0045893@GO1903508@GO1902680@GO0010557@GO0031328@GO0051254@GO0009891@GO0045935@GO0051173@GO0045944
0.114363,0.200048,0.637727,0.908241,0.491518,0.459878,0.41879,0.495778,0.672338,0.475631,0.612611,0.420464,0.657752,0.435924,0.53494,0.661478,0.471426,0.468584,0.531149,0.660068,0.583305,0.424714,0.61602,0.59838,0.595027,0.536747,0.532662,0.522579,0.616333,0.512838,0.390623,0.5155,0.414597,0.520152,0.536707,0.652405,0.564282,0.554273,0.625205,0.519542,0.563927,0.466659,0.6131,0.556763,0.560513,0.449438,0.579129,0.499774,0.484841,0.352783,GO0009987@GO0006355@GO0010468@GO1903506@GO2000112@GO0060255@GO0019222@GO0050789@GO0065007@GO2001141@GO0010556@GO0031326@GO0051252@GO0009889@GO0031323@GO0050794@GO0019219@GO0051171@GO0080090@GO0016310@GO0043170@GO0044238@GO0071704@GO0008152@GO0044260@GO0044237@GO0006796@GO0006793@GO0016070@GO0090304@GO0006139@GO0006725@GO0034641@GO0046483@GO1901360@GO0006807@GO0034645@GO0034654@GO0009059@GO0044249@GO1901576@GO0009058@GO0018130@GO0019438@GO0044271@GO1901362@GO0006351@GO0097659@GO0032774
