第1 个acc：98.392283	 rec：0.914286	 spe：0.992754	 pre：0.941176	 fm：0.927536;
第2 个acc：98.392283	 rec：0.914286	 spe：0.992754	 pre：0.941176	 fm：0.927536;
第3 个acc：96.141479	 rec：1.000000	 spe：0.076923	 pre：0.961290	 fm：0.980263;
第4 个acc：94.533762	 rec：0.858824	 spe：0.977876	 pre：0.935897	 fm：0.895706;
第5 个acc：94.533762	 rec：0.855072	 spe：0.971074	 pre：0.893939	 fm：0.874074;
第6 个acc：94.855305	 rec：0.857143	 spe：0.975104	 pre：0.909091	 fm：0.882353;
第7 个acc：98.713826	 rec：1.000000	 spe：0.200000	 pre：0.987097	 fm：0.993506;
第8 个acc：98.713826	 rec：1.000000	 spe：0.200000	 pre：0.987097	 fm：0.993506;
第9 个acc：98.713826	 rec：1.000000	 spe：0.200000	 pre：0.987097	 fm：0.993506;
第10 个acc：98.713826	 rec：1.000000	 spe：0.200000	 pre：0.987097	 fm：0.993506;
第11 个acc：98.713826	 rec：1.000000	 spe：0.200000	 pre：0.987097	 fm：0.993506;
第12 个acc：98.713826	 rec：1.000000	 spe：0.200000	 pre：0.987097	 fm：0.993506;
第13 个acc：99.035370	 rec：1.000000	 spe：0.250000	 pre：0.990323	 fm：0.995138;
第14 个acc：99.035370	 rec：1.000000	 spe：0.250000	 pre：0.990323	 fm：0.995138;
第15 个acc：98.713826	 rec：1.000000	 spe：0.200000	 pre：0.987097	 fm：0.993506;
第16 个acc：98.713826	 rec：1.000000	 spe：0.200000	 pre：0.987097	 fm：0.993506;
第17 个acc：98.713826	 rec：1.000000	 spe：0.200000	 pre：0.987097	 fm：0.993506;
第18 个acc：98.713826	 rec：1.000000	 spe：0.200000	 pre：0.987097	 fm：0.993506;
第19 个acc：98.713826	 rec：1.000000	 spe：0.200000	 pre：0.987097	 fm：0.993506;
第20 个acc：98.713826	 rec：1.000000	 spe：0.200000	 pre：0.987097	 fm：0.993506;
第21 个acc：99.035370	 rec：1.000000	 spe：0.250000	 pre：0.990323	 fm：0.995138;
第22 个acc：98.713826	 rec：1.000000	 spe：0.200000	 pre：0.987097	 fm：0.993506;
